,Accuracy,AUC,Precision,Recall,F1,MCC
logistic_regression_model.pkl,0.842391304347826,0.9031563845050216,0.8411214953271028,0.8823529411764706,0.861244019138756,0.6801373270763298
decision_tree_model.pkl,0.7934782608695652,0.7886178861788619,0.8018867924528302,0.8333333333333334,0.8173076923076923,0.5805772519186944
knn_model.pkl,0.8532608695652174,0.9076996652319465,0.8504672897196262,0.8921568627450981,0.8708133971291866,0.7023026243101316
naive_bayes_model.pkl,0.842391304347826,0.8868962219033955,0.8543689320388349,0.8627450980392157,0.8585365853658536,0.6806733096050279
random_forest_model.pkl,0.8695652173913043,0.921090387374462,0.8482142857142857,0.9313725490196079,0.8878504672897196,0.7374007837604156
xgboost_model.pkl,0.8586956521739131,0.8827116212338593,0.8454545454545455,0.9117647058823529,0.8773584905660378,0.7140744986854203
